Sr No.,Description,Model No,Buy Price,Unnamed: 4,MSRP,GST,Remarks,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Absen,,,,,,,,,,,,,,,,,,,,,,
,,,INR,USD,,,,,,,,,,,,,,,,,,
1,Absen,HC1.2II,1793639,,,0.18,,,,,,,,,,,,,,,,
2,Absen Icon E series,Icon E130,1756944,,,0.18,,,,,,,,,,,,,,,,
3,Absen C 3.0 Series,C138,1763512,,,0.18,,,,,,,,,,,,,,,,
4,Absen,HC1.2II,2504844,,,0.18,,,,,,,,,,,,,,,,
5,Absen,NX1.5,2646036,,,0.18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Requirement,Make,Model,Pitch,Cabinet Size,,Resolution of Cabinet,,Input No.Panels,,Offered Wall Size (m),,Size,Offered Wall Size (ft),,Wall Resolution,,Diagonal (Inch),Price Screen - Without GST 28% - A,Price processor Without GST 18% - B,Installation Cost with Out GST- 18% - C,"Total Price with out GST
(A+B+C)",Remarks
,,,,Hor,Vertical,Hor,Vertical,Hor,Vertical,Hor,Vertical,Sq m2,Hor,Vertical,Hor,Vertical,,,,,,
8-12 Weeks Delivery,Absen,HC1.2II,1.25,600,337.5,480,270,5,5,3,1.69,5.06,9.84,5.54,2400,1350,136,1545967,185000,62672,1793639,VX1000
All in one( Stock Available),Absen Icon E series,Icon E130,1.53,-,-,-,-,-,-,2.88,1.62,4.67,9.45,5.32,1872,1053,130,1696674,-,60270,1756944,Included HDMI2.0 IN*3，USB2.0*1，USB3.0*3，Audio OUT*1，SPDIF OUT*1，RJ45*1
6-10 Weeks Delivery,Absen C 3.0 Series,C138,1.58,610,343,384,216,5,5,3.05,1.715,5.23,10.01,5.63,1920,1080,138,1695942,0,67571,1763512,Inbuilt AI BOX 3.0
8-12 Weeks Delivery,Absen,HC1.2II,1.25,600,337.5,480,270,6,6,3.6,2.03,7.29,11.81,6.64,2880,1620,163,2219596,195000,90248,2504844,VX1000
Stock Available,Absen,NX1.5,1.5,960,540,640,360,4,4,3.84,2.16,8.29,12.6,7.09,2560,1440,173,2339424,195000,111611,2646036,VX1000
