Brightsign,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Brightsign & Neat,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,BrightSign XD235 4K Standard I/O Player,XD235,61560,80028,952.7142857,0.28,,,
2,BSN.cloud - subscription license (1 year) - 1 player,BSNCSUB-12-SB,9500,12350,147.0238095,0.28,,,
3,BrightSign - flash memory card - 32 GB - microSDHC,SDHC-32C10-1(M),5500,7150,85.11904762,0.28,,,
4,Brightsign Media Player,Brightsign XT1144,74460,96798,1152.357143,0.28,,2023-09-15 00:00:00,
5,Brightsign SD Card,Brightsign SDHC32C101M,5635,7325.5,87.20833333,0.28,,2023-09-15 00:00:00,
6,Brightsign remote Control,Brightsingn,5160,6708,79.85714286,0.28,,2023-09-15 00:00:00,
7,Media Player,Brightsign - XT1144,86000,111800,1330.952381,0.28,,,
,,,,,,,,,
Neat,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Neat pad-Controller,GIEI4A008T9,60576,78748.8,937.4857143,0.18,,2023-09-04 00:00:00,
2,Neat Board touch screen device,GIEI4A006TB,477378,620591.4,7387.992857,0.18,,2023-09-04 00:00:00,
3,Neat Board -Wall Mount,GIEI4A007T7,24662,32060.6,381.6738095,0.18,,2023-09-04 00:00:00,
4,Neat Board Rolling Floor stand,GIEI4A009T7,139402,181222.6,2157.411905,0.18,,2023-09-04 00:00:00,
5,Neat pad Controller,GIEI4A008T9,60576,78748.8,937.4857143,0.18,,2023-09-06 00:00:00,
6,Neat Board Wall mount,GIEI4A007T5,24662,32060.6,381.6738095,0.18,,2023-10-12 00:00:00,
7,Neat board wheels,GIEI4A041,100,130,1.547619048,0.18,,2023-11-20 00:00:00,
8,Netbarpro-SE,GIEI4A013T4,411533,534992.9,6368.963095,0.18,,2023-09-04 00:00:00,
