Brightsign,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,BrightSign XD235 4K Standard I/O Player,XD235,,
2,BSN.cloud - subscription license (1 year) - 1 player,BSNCSUB-12-SB,,
3,BrightSign - flash memory card - 32 GB - microSDHC,SDHC-32C10-1(M),,
4,Brightsign Media Player,Brightsign XT1144,2023-09-15 00:00:00,
5,Brightsign SD Card,Brightsign SDHC32C101M,2023-09-15 00:00:00,
6,Brightsign remote Control,Brightsingn,2023-09-15 00:00:00,
7,Media Player,Brightsign - XT1144,,
,,,,
Neat,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Neat pad-Controller,GIEI4A008T9,2023-09-04 00:00:00,
2,Neat Board touch screen device,GIEI4A006TB,2023-09-04 00:00:00,
3,Neat Board -Wall Mount,GIEI4A007T7,2023-09-04 00:00:00,
4,Neat Board Rolling Floor stand,GIEI4A009T7,2023-09-04 00:00:00,
5,Neat pad Controller,GIEI4A008T9,2023-09-06 00:00:00,
6,Neat Board Wall mount,GIEI4A007T5,2023-10-12 00:00:00,
7,Neat board wheels,GIEI4A041,2023-11-20 00:00:00,
8,Netbarpro-SE,GIEI4A013T4,2023-09-04 00:00:00,
