 C2G ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
 C2G & BlackBox,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,10ft3.0USB-CUSB-A M/M BLK,28833,3280,4264,50.76190476,0.18,,,
2,6ft3.0USB-CUSB-A M/M BLK,28832,2660,3458,41.16666667,0.18,,,
3,6.6ft (2m) USB 3.0 A Male to A Male Cable,"54171
 81678",1330,1729,20.58333333,0.18,,,
4,10FT CAT6 SNAGLESS UTP CA,"27133
 83369",810,1053,12.53571429,0.18,,,
5,USB3.0 A Male to B Male Cable (2m),"54174
 81681",780,1014,12.07142857,0.18,,,
,,,,,,,,,
BlackBox,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,"GigaTrue 3 CAT6 Ethernet Patch Cable with Lockable Connectors - Shielded, 1.5m",C6PC70S-RD-05,1850,2405,28.63095238,0.18,,2024-09-08 00:00:00,
2,"GigaTrue 3 CAT6 Ethernet Patch Cable with Lockable Connectors - Shielded, 2.1m",C6PC70S-RD-07,4250,5525,65.77380952,0.18,,,
3,"GigaTrue 3 Key Locking Pins red, 10-Pack - 10-Pack, Red",LP50-RD-10PK,4850,6305,75.05952381,0.18,,,
4,"GigaTrue 3 Key Locking Pins red, 25-Pack - 25-pack, Red",LP50-RD-25PK,6500,8450,100.5952381,0.18,,,
5,Removal Tool for LockPORT Key Locking Cables,KEY-CL,1500,1950,23.21428571,0.18,,,
6,"LockPORT™ Secure RJ45 Port Locks - Red, 25-pack",PL-AB-RD-25PAK,7500,9750,116.0714286,0.18,,,
7,LockPORT™ RJ45 Port Lock Removal Tool,RT-AB-CL,1100,1430,17.02380952,0.18,,,
