Dali,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Dali & Inogeni & APC,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Dali Controller,"DALI
 QSNE-2DAL-D",72250,93925,1118.154762,0.18,,,
2,"Din Dali Interface,2 LOOP",DIN - DALI - 2,36717.45,47732.685,568.24625,0.18,,,
,,,,,,,,,
Inogeni ,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,USB 3.0 devices to 2 PCs switcher,Toggle ,52450,68185,811.7261905,0.18,,2025-05-03 00:00:00,
2,3G-SDI to USB 3.0 video converter,SDI2USB3 ,53500,69550,827.9761905,0.18,,,
3,HDMI to USB Converter,Inogeni 4K2USB3,52250,67925,808.6309524,0.18,,2025-07-07 00:00:00,
4,	INOGENI 4KX-Plus HDMI to USB 3.0 Converter,4KX-PLUS,69850,90805,1081.011905,0.18,,2025-06-26 00:00:00,
,,,,,,,,,
APC,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,NetShelter Switched Rack PDU,AP7921B,36000,46800,557.1428571,0.18,,2025-05-05 00:00:00,
