Sr No.,Description,Model No,Buy Price,Unnamed: 4,Unnamed: 5,GST,MSRP,Updated Date,Remarks
JBL,,,,,,,,,
,,,INR,INR with Margin ,USD,,,,
1.0,"Two-Way 6.5"" Coaxial Ceiling Loudspeaker",Control 16C/T ,11500,14950,177.9761905,0.18,,2025-06-05 00:00:00,
2.0,Compact Full-Range Pendant Loudspeaker,Control 64P/T,12000,15600,185.7142857,0.18,,,
3.0,"Compact Indoor/OutdoorBackground/
Foreground Speaker",Control 25-1,13600,17680,210.4761905,0.18,,2025-06-05 00:00:00,
4.0,JBL Libra 500 Mixer Amplifier with USB,Libra 500,31500,40950,487.5,0.18,,,
5.0,3-Way High Power ScreenArray Loudspeakers,5732-M/HF ,146430,190359,2266.178571,0.18,,2025-07-12 00:00:00,
,,JBL 5739,85410,111033,1321.821429,0.18,,2025-07-12 00:00:00,
6.0,"Cinema Surround Loudspeaker2-Way Passive 1"" HF, 10"" Woofer (2"" VC)",9300,179640,233532,2780.142857,0.18,,2025-07-12 00:00:00,
7.0,Quick Mount Surround Bracket,2520 Bracket,3870,5031,59.89285714,0.18,,2025-07-12 00:00:00,
,Constant Beamwidth Technology Two-Way Line Array Column with Asymmetrical Vertical Cove,CBT 70J-1,77070,100191,1192.75,0.18,,2025-07-12 00:00:00,
,"18"" High Power Subwoofer System",AC118S,62580,81354,968.5,0.18,,2025-07-12 00:00:00,
,"Constant Beam width Technology, Line Array Column Loudspeaker with 100W",CBT 50LA,33390,43407,516.75,0.18,,2025-07-12 00:00:00,
,"Constant Beam width Technology, Line Array Column Loudspeaker with 100W",CBT 50LA,33390,43407,516.75,0.18,,2025-07-12 00:00:00,
,Compact Indoor/OutdoorBackground/Foreground Speaker,Control 25-1,14700,19110,227.5,0.18,,2025-07-12 00:00:00,
