Jabra ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Jabra ,Jabra Panacast 50 India,2023-12-06 00:00:00,
2,Jabra  PanaCast 50 Remote,Jabra Panacast Remote,2023-12-06 00:00:00,
3,jabra speak 750MS USB/BT & link 370,Jabra-7700-309,2024-01-12 00:00:00,
4,Jabra Panacast 50 Room System,Jabra MS P50,2024-04-28 00:00:00,
5,"JABRA PANACAST MS, GLOBAL",8100-119,,
6,JABRA PANACAST WALL MOUNT WALL MOUNT,14207-57,,
7,"JABRA PANACAST 50 INDIA, BLACK with Wall Mount",8200-234,,
8,"50 ROOM SYSTEM MS,P50IN CHGR,LENOVO IG KIT",8601-119,,
9,"PANACAST50 V.BAR SYS.UC VB&TC,IN (V.COL.CAMERA)",8500-234,,
,,,,
MAXHUB,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,"98"" All-in-one Conference IFP , IR Touch ",MAXHUB C9850,2025-05-05 00:00:00,
2,"75"" All-in-one Conference IFP , IR Touch - (Upto 50 Touch points)",MAXHUB V7550,2025-05-20 00:00:00,
3,"PC module , Windows Pre Loaded, CPU : 12th Gen Intel",MT71,2025-05-05 00:00:00,
4,Stylus and Dongle Holder - Can contain 3 screen share,MAXHUB PB02 ,2025-05-05 00:00:00,
5,Wireless Screen Sharing Dongle WT13,WT13M,2025-05-20 00:00:00,
