Magewell ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Magewell & ICRON,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Capture Dongle USB Capture HDMI Gen2,Magwell,25000,32500,386.9047619,0.18,,,
2,Magwell Capture card,Magwell USB Capture card,23500,30550,363.6904762,0.18,,,
3,Magwell Capture card,HDMI Gen2,23500,30550,363.6904762,0.18,,,
,,,,,,,,,
 ICRON,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,"USB 2.0 Ranger 2304 - NA, 4-Port 100m Cat 5e Extender System, 100-240V Power Adapter, NA Power Cord",00-00347,30225,39292.5,467.7678571,0.18,,,
