Microsoft ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Microsoft & Lindy ,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Microsoft Surface Hub 2S 50inch 8GB 128GB,NSG-00002,733583.5,953658.55,11353.07798,0.18,,2024-09-08 00:00:00,
2,"Microsoft Surface Hub 2S 85""
Surface Hub 3 85in CM 32GB 512GB Platinum",TQP-00021,1834656.84,2385053.892,28393.49871,0.18,,2024-09-08 00:00:00,
3,Surface Hub 2S 50in 8GB 128GB,NSG-00012,733583.5,953658.55,11353.07798,0.18,,2024-09-08 00:00:00,
4,Surface Hub 3 85in CM 32GB 512GB Platinum,VY7-00015,1834656.84,2385053.892,28393.49871,0.18,,2024-09-08 00:00:00,
5,Surface Hub 3 50in CM 32GB 512GB Platinum,VXV-00015,748279.91,972763.883,11580.52242,0.18,,2024-09-08 00:00:00,
6,Surface Hub 3 Pack CM 32GB 512GB Platinum,VXN-00008,212270.38,275951.494,3285.136833,0.18,,2024-09-08 00:00:00,
7,Srfc Hub 2 Smart Camera,2IN-00006,65546.71,85210.723,1014.413369,0.18,,2024-09-08 00:00:00,
8,Surface Hub 2 Camera,LPL-00012,16734.26,21754.538,258.9825952,0.18,,2024-09-08 00:00:00,
9,Surface Hub 2 Pen,LPN-00012,10276.73,13359.749,159.044631,0.18,,2024-09-08 00:00:00,
10,Surface HUB -2yrs EHS(1yr Std+1yr Ext),QDU-00012,44370.61,57681.793,686.6880119,0.18,,2024-09-08 00:00:00,
11,Surface HUB -3yrs EHS(1ys Std+2yrs Ext),QDT-00012,105055.13,136571.669,1625.853202,0.18,,2024-09-08 00:00:00,
12,"Surface HUB 85"" -2yrs EHS(1yr Std+1yr Ext)",QDU-00065,107534.7,139795.11,1664.2275,0.18,,2024-09-08 00:00:00,
13,"Surface HUB 85""-3yrs EHS(1ys Std+2yrs Ext)",QDT-00058,231210.36,300573.468,3578.255571,0.18,,2024-09-08 00:00:00,
14,"Surface HUB 50""-5yrs EHS(1yr Std+4yrs Ext)",I81-00009,172271.49,223952.937,2666.106393,0.18,,2024-09-08 00:00:00,
15,"Surface HUB 85""-5yrs EHS(1yr Std+4yrs Ext)",I81-00020,430377.17,559490.321,6660.59906,0.18,,2024-09-08 00:00:00,
,,,,,,,,,
Lindy ,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,HDMI 2.0 18G EDID Emulator,32114,14500,18850,224.4047619,0.18,,2025-04-10 00:00:00,
