Microsoft ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Microsoft Surface Hub 2S 50inch 8GB 128GB,NSG-00002,2024-09-08 00:00:00,
2,"Microsoft Surface Hub 2S 85""
Surface Hub 3 85in CM 32GB 512GB Platinum",TQP-00021,2024-09-08 00:00:00,
3,Surface Hub 2S 50in 8GB 128GB,NSG-00012,2024-09-08 00:00:00,
4,Surface Hub 3 85in CM 32GB 512GB Platinum,VY7-00015,2024-09-08 00:00:00,
5,Surface Hub 3 50in CM 32GB 512GB Platinum,VXV-00015,2024-09-08 00:00:00,
6,Surface Hub 3 Pack CM 32GB 512GB Platinum,VXN-00008,2024-09-08 00:00:00,
7,Srfc Hub 2 Smart Camera,2IN-00006,2024-09-08 00:00:00,
8,Surface Hub 2 Camera,LPL-00012,2024-09-08 00:00:00,
9,Surface Hub 2 Pen,LPN-00012,2024-09-08 00:00:00,
10,Surface HUB -2yrs EHS(1yr Std+1yr Ext),QDU-00012,2024-09-08 00:00:00,
11,Surface HUB -3yrs EHS(1ys Std+2yrs Ext),QDT-00012,2024-09-08 00:00:00,
12,"Surface HUB 85"" -2yrs EHS(1yr Std+1yr Ext)",QDU-00065,2024-09-08 00:00:00,
13,"Surface HUB 85""-3yrs EHS(1ys Std+2yrs Ext)",QDT-00058,2024-09-08 00:00:00,
14,"Surface HUB 50""-5yrs EHS(1yr Std+4yrs Ext)",I81-00009,2024-09-08 00:00:00,
15,"Surface HUB 85""-5yrs EHS(1yr Std+4yrs Ext)",I81-00020,2024-09-08 00:00:00,
,,,,
Lindy ,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,HDMI 2.0 18G EDID Emulator,32114,2025-04-10 00:00:00,
