NEC ( Sharp),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
NEC & BSS,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Professional Display ,ME552,105000,136500,1625,0.28,,,
2,86” Professional Display ,Display V864Q ,470000,611000,7273.809524,0.28,,,
3,NEC projector,NP-P554WG,90250,117325,1396.72619,0.28,,2023-12-11 00:00:00,
4,"NEC MultiSync® M431 LCD 43"" Message Large Format Display",60005047,85000,110500,1315.47619,0.28,,2024-09-08 00:00:00,
5,"NEC MultiSync® M491 LCD 49"" Message Large Format Display",60005051,100000,130000,1547.619048,0.28,,2024-09-09 00:00:00,
6,"NEC MultiSync® M551 LCD 55"" Message Large Format Display",60005055,115000,149500,1779.761905,0.28,,2024-09-10 00:00:00,
7,"NEC MultiSync® M651 LCD 65"" Message Large Format Display",60005061,165000,214500,2553.571429,0.28,,2024-09-11 00:00:00,
8,"NEC MultiSync M751 75"" Display",60005064,315000,409500,4875,0.28,,2024-09-12 00:00:00,
9,"NEC MultiSync M861 86"" Display",60005067,430000,559000,6654.761905,0.28,,2024-09-13 00:00:00,
10,"NEC MultiSync® M981 LCD 98"" Message Large Format Display",60005069,875000,1137500,13541.66667,0.28,,2024-09-14 00:00:00,
11,"NEC MultiSync M431 PCAP LCD 43"" PCAP Touch Display",60005076,,,,0.28,,2024-09-15 00:00:00,
12,"NEC MultiSync® M321 LCD 32"" Message Large Format Display",60005288,45000,58500,696.4285714,0.28,,2024-09-16 00:00:00,
13,"NEC MultiSync® UN552V LCD 55"" Video Wall Display",60004882,250000,325000,3869.047619,0.28,,2024-09-17 00:00:00,
14,NEC Video Wall Mount PD04VW QR 46 55,100015291,45000,58500,696.4285714,0.28,,2024-09-18 00:00:00,
15,NEC Connector Kit CK04UN552A,100015296,17500,22750,270.8333333,0.28,,2024-09-19 00:00:00,
16,NEC Calibration Kit KT-LFD-CC2,40000847,85000,110500,1315.47619,0.28,,2024-09-20 00:00:00,
17,NEC Over Frame Kit KT-55UN-OF5,100015331,45000,58500,696.4285714,0.28,,2024-09-21 00:00:00,
18,,,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
BSS,,,,,,,,,
,,,,,,,,,
Sr No.,Description,Model No,Buy Price,,,GST,MSRP,Updated Date,Remarks
,,,INR,INR with Margin ,USD,,,,
1,Conferencing Processor with AEC and VoIP,BSS BLU 103,169500,220350,2623.214286,0.18,,2025-07-09 00:00:00,
2,12 x 8 Digital Signal Processor,Blu100,150010,195013,2321.583333,0.18,,2025-07-12 00:00:00,
3,8 Output Expander for DSP,Blu-BOB2,57960,75348,897,0.18,,2025-07-12 00:00:00,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
