NEC ( Sharp),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Professional Display ,ME552,,
2,86” Professional Display ,Display V864Q ,,
3,NEC projector,NP-P554WG,2023-12-11 00:00:00,
4,"NEC MultiSync® M431 LCD 43"" Message Large Format Display",60005047,2024-09-08 00:00:00,
5,"NEC MultiSync® M491 LCD 49"" Message Large Format Display",60005051,2024-09-09 00:00:00,
6,"NEC MultiSync® M551 LCD 55"" Message Large Format Display",60005055,2024-09-10 00:00:00,
7,"NEC MultiSync® M651 LCD 65"" Message Large Format Display",60005061,2024-09-11 00:00:00,
8,"NEC MultiSync M751 75"" Display",60005064,2024-09-12 00:00:00,
9,"NEC MultiSync M861 86"" Display",60005067,2024-09-13 00:00:00,
10,"NEC MultiSync® M981 LCD 98"" Message Large Format Display",60005069,2024-09-14 00:00:00,
11,"NEC MultiSync M431 PCAP LCD 43"" PCAP Touch Display",60005076,2024-09-15 00:00:00,
12,"NEC MultiSync® M321 LCD 32"" Message Large Format Display",60005288,2024-09-16 00:00:00,
13,"NEC MultiSync® UN552V LCD 55"" Video Wall Display",60004882,2024-09-17 00:00:00,
14,NEC Video Wall Mount PD04VW QR 46 55,100015291,2024-09-18 00:00:00,
15,NEC Connector Kit CK04UN552A,100015296,2024-09-19 00:00:00,
16,NEC Calibration Kit KT-LFD-CC2,40000847,2024-09-20 00:00:00,
17,NEC Over Frame Kit KT-55UN-OF5,100015331,2024-09-21 00:00:00,
18,,,,
19,,,,
20,,,,
21,,,,
,,,,
,,,,
,,,,
BSS,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Conferencing Processor with AEC and VoIP,BSS BLU 103,2025-07-09 00:00:00,
2,12 x 8 Digital Signal Processor,Blu100,2025-07-12 00:00:00,
3,8 Output Expander for DSP,Blu-BOB2,2025-07-12 00:00:00,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
