Steelcase,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Steelcase Mobile stand for Microsoft Surface Hub 2S 50-inch,STPM1CART,2024-09-08 00:00:00,
2,"Steelcase Roam Wall Mount for Surface Hub 2S 50""",STPM1WALLMT,,
3,"Steelcase Hub 2S 85"" Floor Supported Wall Mount",STPM2FLRMT85,,
4,"Steelcase Hub 2S 85"" Roam Mobile Stand",STPM2CART85,,
5,"Steelcase Hub 2S 85"" Wall Mount",STPM2WALMT85,,
9,ROAM: Wall Mount-85'',STPM2WALMT85,,
10,"ROAM: Mobile Stand-85""",STPM2CART85,,
,,,,
Huddly,,,,
,,,,
Sr No.,Description,Model No,Updated Date,Remarks
,,,,
1,Conference Camera,huddly,,
2,CONNECT2 HUDDLY,Huddly IQ,,
3,USB 3 type angled C to A cable 2.0m,Huddly USB,,
